Dia,Tempo
1,Sol
2,Sol
3,Sol
4,Sol
5,Sol
6,Chuva
7,Sol
8,Sol
9,Nuvem
10,Chuva
11,Sol
12,Sol
13,Sol
14,Sol
15,Sol
16,Nuvem
17,Sol
18,Sol
19,Sol
20,Sol
21,Sol
22,Sol
23,Chuva
24,Nuvem-Chuva
25,Chuva
26,Nuvem-Chuva
27,Chuva
28,Sol
29,Sol
30,Sol
31,Sol
32,Sol
33,Chuva
34,Sol
35,Nuvem
36,Nuvem
37,Sol
38,Sol
39,Chuva
40,Sol
41,Sol
42,Sol
43,Sol
44,Sol
45,Nuvem
46,Sol
47,Sol
48,Nuvem
49,Sol
50,Chuva
51,Sol
52,Sol
53,Sol
54,Sol
55,Sol
56,Sol
57,Sol
58,Sol
59,Sol
60,Sol
61,Sol
62,Chuva
63,Nuvem
64,Nuvem
65,Sol
66,Chuva
67,Chuva
68,Sol
69,Sol
70,Sol
71,Nuvem
72,Nuvem
73,Nuvem
74,Nuvem
75,Nuvem
76,Sol
77,Sol
78,Sol
79,Sol
80,Sol
81,Nuvem
82,Sol
83,Sol
84,Nuvem
85,Sol
86,Nuvem
87,Nuvem
88,Nuvem
89,Nuvem
90,Chuva
91,Sol
92,Nuvem
93,Nuvem
94,Nuvem
95,Sol
96,Sol
97,Sol
98,Sol
99,Nuvem
100,Sol
101,Sol
102,Sol
103,Sol
104,Sol
105,Chuva
106,Sol
107,Sol
108,Sol
109,Sol
110,Nuvem
111,Nuvem
112,Nuvem
113,Sol
114,Chuva
115,Sol
116,Sol
117,Sol
118,Nuvem
119,Nuvem
120,Sol
121,Sol
122,Nuvem
123,Sol
124,Sol
125,Chuva
126,Chuva
127,Chuva
128,Sol
129,Orage
130,Nuvem
131,Sol
132,Nuvem
133,Sol
134,Nuvem
135,Nuvem
136,Sol
137,Sol
138,Sol
139,Sol
140,Nuvem
141,Nuvem
142,Sol
143,Sol
144,Sol
145,Sol
146,Sol
147,Sol
148,Sol
149,Nuvem
150,Nuvem
151,Sol
152,Sol
153,Sol
154,Sol
155,Sol
156,Sol
157,Nuvem
158,Nuvem
159,Sol
160,Sol
161,Sol
162,Sol
163,Nuvem
164,Nuvem
165,Nuvem
166,Sol
167,Sol
168,Nuvem
169,Nuvem
170,Nuvem
171,Sol
172,Sol
173,Sol
174,Sol
175,Sol
176,Nuvem
177,Nuvem
178,Nuvem
179,Nuvem
180,Nuvem
181,Sol
182,Nuvem
183,Nuvem
184,Nuvem
185,Nuvem
186,Sol
187,Sol
188,Sol
189,Sol
190,Nuvem
191,Sol
192,Nuvem-Chuva
193,Nuvem
194,Nuvem
195,Sol
196,Nuvem
197,Sol
198,Nuvem
199,Nuvem
200,Nuvem
201,Sol
202,Chuva
203,Nuvem
204,Nuvem
205,Nuvem
206,Nuvem
207,Nuvem-Chuva
208,Sol
209,Sol
210,Nuvem
211,Sol
212,Sol
213,Nuvem
214,Nuvem
215,Sol
216,Sol
217,Nuvem
218,Nuvem
219,Nuvem
220,Sol
221,Sol
222,Sol
223,Sol
224,Nuvem
225,Nuvem
226,Nuvem
227,Nuvem
228,Nuvem
229,Nuvem
230,Nuvem
231,Nuvem
232,Nuvem
233,Nuvem
234,Sol
235,Nuvem
236,Nuvem
237,Nuvem
238,Nuvem
239,Sol
240,Nuvem
241,Nuvem
242,Nuvem
243,Sol
244,Sol
245,Nuvem
246,Sol
247,Nuvem
248,Nuvem
249,Sol
250,Sol
251,Nuvem
252,Nuvem
253,Nuvem
254,Sol
255,Sol
256,Nuvem
257,Nuvem
258,Sol
259,Nuvem
260,Nuvem
261,Nuvem
262,Nuvem
263,Nuvem
264,Sol
265,Sol
266,Sol
267,Nuvem
268,Sol
269,Sol
270,Sol
271,Sol
272,Sol
273,Sol
274,Nuvem
275,Sol
276,Nuvem
277,Sol
278,Sol
279,Sol
280,Sol
281,Nuvem
282,Chuva
283,Sol
284,Sol
285,Sol
286,Sol
287,Sol
288,Sol
289,Sol
290,Sol
291,Sol
292,Nuvem
293,Nuvem
294,Nuvem
295,Nuvem
296,Sol
297,Sol
298,Nuvem
299,Nuvem
300,Nuvem
301,Sol
302,Sol
303,Sol
304,Sol
305,Sol
306,Sol
307,Sol
308,Sol
309,Nuvem
310,Sol
311,Sol
312,Nuvem
313,Nuvem
314,Sol
315,Nuvem
316,Nuvem
317,Sol
318,Sol
319,Nuvem
320,Sol
321,Sol
322,Nuvem
323,Sol
324,Chuva
325,Chuva
326,Chuva
327,Sol
328,Sol
329,Sol
330,Sol
331,Sol
332,Sol
333,Chuva
334,Sol
335,Sol
336,Sol
337,Sol
338,Sol
339,Sol
340,Sol
341,Chuva
342,Sol
343,Sol
344,Sol
345,Sol
346,Nuvem
347,Nuvem
348,Sol
349,Sol
350,Sol
351,Sol
352,Sol
353,Chuva
354,Sol
355,Sol
356,Sol
357,Nuvem
358,Sol
359,Sol
360,Sol
361,Sol
362,Sol
363,Nuvem
364,Nuvem
365,Nuvem
